,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Time_Category
4648,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,night
4649,Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,night
4650,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,4,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,night
4651,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,night
4652,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Moving Backward,Slight Injury,morning
4653,Wednesday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,morning
4654,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Snow,Darkness - lights lit,Snow,Vehicle with vehicle collision,1,1,Moving Backward,Passenger,Female,Under 18,3,Not a Pedestrian,Moving Backward,Slight Injury,evening
4655,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,afternoon
4656,Monday,18-30,Male,Elementary school,Owner,5-10yr,Lorry (41?100Q),Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,afternoon
4657,Thursday,Over 51,Male,Junior high school,Owner,5-10yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Drunk driving,Slight Injury,morning
4658,Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,morning
4659,Friday,31-50,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,School areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,morning
4660,Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,School areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3,Unknown or other,Driving to the left,Slight Injury,morning
4661,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
4662,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
4663,Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
4664,Wednesday,Unknown,Male,High school,Employee,Above 10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,morning
4665,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
4666,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,morning
4667,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Serious Injury,morning
4668,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,night
4669,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,night
4670,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,2,Not a Pedestrian,No distancing,Slight Injury,night
4671,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,evening
4672,Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,evening
4673,Wednesday,Unknown,Female,Junior high school,Employee,2-5yr,Public (13?45 seats),Organization, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,18-30,3,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,Slight Injury,afternoon
4674,Monday,31-50,Male,Elementary school,Employee,Below 1yr,Public (13?45 seats),Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury,afternoon
4675,Monday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,afternoon
4676,Friday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
4677,Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Unknown or other,Changing lane to the right,Slight Injury,evening
4678,Sunday,Unknown,Male,Writing & reading,Employee,Below 1yr,Other,Owner, Hospital areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,night
4679,Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,morning
4680,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,31-50,3,Unknown or other,Driving under the influence of drugs,Slight Injury,morning
4681,Tuesday,Unknown,Male,Elementary school,Employee,Above 10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,1,1,Moving Backward,Pedestrian,Male,18-30,3,Unknown or other,No distancing,Serious Injury,evening
4682,Sunday,31-50,Male,Elementary school,Employee,Above 10yr,Motorcycle,Owner,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,evening
4683,Sunday,18-30,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,evening
4684,Friday,Unknown,Female,High school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving to the left,Slight Injury,night
4685,Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,4,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,night
4686,Friday,31-50,Male,Above high school,Employee,Above 10yr,Automobile,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,night
4687,Friday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Governmental,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Other,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,night
4688,Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
4689,Monday,Over 51,Male,High school,Employee,1-2yr,Public (> 45 seats),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Stopping,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,afternoon
4690,Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Governmental, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,Over 51,2,Not a Pedestrian,Changing lane to the right,Slight Injury,morning
4691,Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,Pedestrian,Male,5,3,Not a Pedestrian,Driving carelessly,Slight Injury,morning
4692,Wednesday,Unknown,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,morning
4693,Saturday,Unknown,Female,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Pedestrian,Male,18-30,3,Crossing from driver's nearside,No distancing,Serious Injury,evening
4694,Thursday,Unknown,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury,afternoon
4695,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,afternoon
4696,Tuesday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
4697,Tuesday,31-50,Male,High school,Employee,1-2yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Not a Pedestrian,Overturning,Slight Injury,afternoon
4698,Friday,Under 18,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,4,1,Going straight,Passenger,Male,5,3,Not a Pedestrian,No distancing,Serious Injury,night
4699,Friday,Unknown,Female,Junior high school,Employee,Below 1yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,night
4700,Friday,Unknown,Female,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No priority to vehicle,Serious Injury,night
4701,Friday,Unknown,Female,Elementary school,Owner,5-10yr,Public (> 45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Other,Dry,Darkness - lights lit,Normal,Collision with roadside objects,4,1,Going straight,Pedestrian,Male,31-50,3,Unknown or other,Changing lane to the right,Serious Injury,night
4702,Monday,18-30,Male,Elementary school,Employee,Below 1yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,afternoon
4703,Monday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
4704,Monday,18-30,Male,Elementary school,Owner,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Reversing,Pedestrian,Male,18-30,2,Not a Pedestrian,No priority to pedestrian,Slight Injury,afternoon
4705,Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,night
4706,Tuesday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,2,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,night
4707,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Organization,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
4708,Saturday,31-50,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,afternoon
4709,Wednesday,Unknown,Male,Elementary school,Employee,5-10yr,Other,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,afternoon
4710,Friday,Unknown,Female,Elementary school,Employee,2-5yr,Stationwagen,Owner, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Overtaking,Slight Injury,night
4711,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,night
4712,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Owner,Other,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,night
4713,Sunday,Unknown,Female,Junior high school,Employee,5-10yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,afternoon
4714,Sunday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Entering a junction,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,afternoon
4715,Wednesday,31-50,Male,Elementary school,Employee,1-2yr,Automobile,Owner, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Entering a junction,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,evening
4716,Wednesday,Under 18,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Entering a junction,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,evening
4717,Wednesday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Entering a junction,Passenger,Female,5,3,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
4718,Monday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,2,1,Other,Driver or rider,Male,18-30,2,Not a Pedestrian,No distancing,Slight Injury,evening
4719,Monday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,evening
4720,Sunday,Unknown,Female,Junior high school,Employee,Above 10yr,Public (12 seats),Governmental,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Turnover,Passenger,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,evening
4721,Sunday,Unknown,Female,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,2,1,Entering a junction,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,evening
4722,Monday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Entering a junction,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,night
4723,Monday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Entering a junction,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,night
4724,Monday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Entering a junction,Pedestrian,Male,31-50,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,night
4725,Tuesday,18-30,Male,High school,Employee,Above 10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Passenger,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,morning
4726,Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Other,Pedestrian,Male,Over 51,3,Not a Pedestrian,Changing lane to the left,Serious Injury,night
4727,Saturday,18-30,Male,Elementary school,Employee,1-2yr,Motorcycle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,31-50,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury,afternoon
4728,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,morning
4729,Friday,18-30,Male,Elementary school,Employee,1-2yr,Ridden horse,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,night
4730,Thursday,Under 18,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Male,18-30,3,Not a Pedestrian,Driving carelessly,Fatal injury,evening
4731,Thursday,Unknown,Female,Above high school,Owner,1-2yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,3,1,Going straight,Pedestrian,Male,5,3,Not a Pedestrian,Moving Backward,Fatal injury,evening
